Timestamp,difficulty
2009-01-03 00:00:00,1
2009-01-06 00:00:00,0
2009-01-09 00:00:00,1
2009-01-12 00:00:00,1
2009-01-15 00:00:00,1
2009-01-18 00:00:00,1
2009-01-21 00:00:00,1
2009-01-24 00:00:00,1
2009-01-27 00:00:00,1
2009-01-30 00:00:00,1
2009-02-02 00:00:00,1
2009-02-05 00:00:00,1
2009-02-08 00:00:00,1
2009-02-11 00:00:00,1
2009-02-14 00:00:00,1
2009-02-17 00:00:00,1
2009-02-20 00:00:00,1
2009-02-23 00:00:00,1
2009-02-26 00:00:00,1
2009-03-01 00:00:00,1
2009-03-04 00:00:00,1
2009-03-07 00:00:00,1
2009-03-10 00:00:00,1
2009-03-13 00:00:00,1
2009-03-16 00:00:00,1
2009-03-19 00:00:00,1
2009-03-22 00:00:00,1
2009-03-25 00:00:00,1
2009-03-28 00:00:00,1
2009-03-31 00:00:00,1
2009-04-03 00:00:00,1
2009-04-06 00:00:00,1
2009-04-09 00:00:00,1
2009-04-12 00:00:00,1
2009-04-15 00:00:00,1
2009-04-18 00:00:00,1
2009-04-21 00:00:00,1
2009-04-24 00:00:00,1
2009-04-27 00:00:00,1
2009-04-30 00:00:00,1
2009-05-03 00:00:00,1
2009-05-06 00:00:00,1
2009-05-09 00:00:00,1
2009-05-12 00:00:00,1
2009-05-15 00:00:00,1
2009-05-18 00:00:00,1
2009-05-21 00:00:00,1
2009-05-24 00:00:00,1
2009-05-27 00:00:00,1
2009-05-30 00:00:00,1
2009-06-02 00:00:00,1
2009-06-05 00:00:00,1
2009-06-08 00:00:00,1
2009-06-11 00:00:00,1
2009-06-14 00:00:00,1
2009-06-17 00:00:00,1
2009-06-20 00:00:00,1
2009-06-23 00:00:00,1
2009-06-26 00:00:00,1
2009-06-29 00:00:00,1
2009-07-02 00:00:00,1
2009-07-05 00:00:00,1
2009-07-08 00:00:00,1
2009-07-11 00:00:00,1
2009-07-14 00:00:00,1
2009-07-17 00:00:00,1
2009-07-20 00:00:00,1
2009-07-23 00:00:00,1
2009-07-26 00:00:00,1
2009-07-29 00:00:00,1
2009-08-01 00:00:00,1
2009-08-04 00:00:00,1
2009-08-07 00:00:00,1
2009-08-10 00:00:00,1
2009-08-13 00:00:00,1
2009-08-16 00:00:00,1
2009-08-19 00:00:00,1
2009-08-22 00:00:00,1
2009-08-25 00:00:00,1
2009-08-28 00:00:00,1
2009-08-31 00:00:00,1
2009-09-03 00:00:00,1
2009-09-06 00:00:00,1
2009-09-09 00:00:00,1
2009-09-12 00:00:00,1
2009-09-15 00:00:00,1
2009-09-18 00:00:00,1
2009-09-21 00:00:00,1
2009-09-24 00:00:00,1
2009-09-27 00:00:00,1
2009-09-30 00:00:00,1
2009-10-03 00:00:00,1
2009-10-06 00:00:00,1
2009-10-09 00:00:00,1
2009-10-12 00:00:00,1
2009-10-15 00:00:00,1
2009-10-18 00:00:00,1
2009-10-21 00:00:00,1
2009-10-24 00:00:00,1
2009-10-27 00:00:00,1
2009-10-30 00:00:00,1
2009-11-02 00:00:00,1
2009-11-05 00:00:00,1
2009-11-08 00:00:00,1
2009-11-11 00:00:00,1
2009-11-14 00:00:00,1
2009-11-17 00:00:00,1
2009-11-20 00:00:00,1
2009-11-23 00:00:00,1
2009-11-26 00:00:00,1
2009-11-29 00:00:00,1
2009-12-02 00:00:00,1
2009-12-05 00:00:00,1
2009-12-08 00:00:00,1
2009-12-11 00:00:00,1
2009-12-14 00:00:00,1
2009-12-17 00:00:00,1
2009-12-20 00:00:00,1
2009-12-23 00:00:00,1
2009-12-26 00:00:00,1
2009-12-29 00:00:00,1
2010-01-01 00:00:00,1.18289953431284
2010-01-04 00:00:00,1.18289953431284
2010-01-07 00:00:00,1.18289953431284
2010-01-10 00:00:00,1.18289953431284
2010-01-13 00:00:00,1.30506213159152
2010-01-16 00:00:00,1.30506213159152
2010-01-19 00:00:00,1.30506213159152
2010-01-22 00:00:00,1.30506213159152
2010-01-25 00:00:00,1.34422497077103
2010-01-28 00:00:00,1.34422497077103
2010-01-31 00:00:00,1.34422497077103
2010-02-03 00:00:00,1.34422497077103
2010-02-06 00:00:00,1.81864853614541
2010-02-09 00:00:00,1.81864853614541
2010-02-12 00:00:00,1.81864853614541
2010-02-15 00:00:00,2.52773821507236
2010-02-18 00:00:00,2.52773821507236
2010-02-21 00:00:00,2.52773821507236
2010-02-24 00:00:00,3.78117925203377
2010-02-27 00:00:00,3.78117925203377
2010-03-02 00:00:00,3.78117925203377
2010-03-05 00:00:00,3.78117925203377
2010-03-08 00:00:00,4.53108175007069
2010-03-11 00:00:00,4.53108175007069
2010-03-14 00:00:00,4.53108175007069
2010-03-17 00:00:00,4.53108175007069
2010-03-20 00:00:00,4.53108175007069
2010-03-23 00:00:00,4.56516291033707
2010-03-26 00:00:00,4.56516291033707
2010-03-29 00:00:00,4.56516291033707
2010-04-01 00:00:00,6.08547690600079
2010-04-04 00:00:00,6.08547690600079
2010-04-07 00:00:00,6.08547690600079
2010-04-10 00:00:00,6.08547690600079
2010-04-13 00:00:00,7.81979699335383
2010-04-16 00:00:00,7.81979699335383
2010-04-19 00:00:00,7.81979699335383
2010-04-22 00:00:00,11.4643158055141
2010-04-25 00:00:00,11.4643158055141
2010-04-28 00:00:00,11.4643158055141
2010-05-01 00:00:00,11.4643158055141
2010-05-04 00:00:00,12.8491831478238
2010-05-07 00:00:00,12.8491831478238
2010-05-10 00:00:00,12.8491831478238
2010-05-13 00:00:00,12.8491831478238
2010-05-16 00:00:00,12.8491831478238
2010-05-19 00:00:00,12.8491831478238
2010-05-22 00:00:00,11.8462281497047
2010-05-25 00:00:00,11.8462281497047
2010-05-28 00:00:00,11.8462281497047
2010-05-31 00:00:00,16.6190787518574
2010-06-03 00:00:00,16.6190787518574
2010-06-06 00:00:00,16.6190787518574
2010-06-09 00:00:00,16.6190787518574
2010-06-12 00:00:00,17.3814881581401
2010-06-15 00:00:00,17.3814881581401
2010-06-18 00:00:00,17.3814881581401
2010-06-21 00:00:00,17.3814881581401
2010-06-24 00:00:00,19.4047963283822
2010-06-27 00:00:00,19.4047963283822
