Timestamp,my-wallet-n-users
2011-11-29 00:00:00,2
2011-12-13 00:00:00,127
2011-12-27 00:00:00,369
2012-01-10 00:00:00,635
2012-01-24 00:00:00,1163
2012-02-07 00:00:00,1587
2012-02-21 00:00:00,2078
2012-03-06 00:00:00,2537
2012-03-20 00:00:00,3041
2012-04-03 00:00:00,3772
2012-04-17 00:00:00,4611
2012-05-01 00:00:00,5798
2012-05-15 00:00:00,6827
2012-05-29 00:00:00,7857
2012-06-12 00:00:00,9046
2012-06-26 00:00:00,10473
2012-07-10 00:00:00,12108
2012-07-24 00:00:00,14337
2012-08-07 00:00:00,16174
2012-08-21 00:00:00,18642
2012-09-04 00:00:00,21335
2012-09-18 00:00:00,24310
2012-10-02 00:00:00,28121
2012-10-16 00:00:00,32425
2012-10-30 00:00:00,36435
2012-11-13 00:00:00,40018
2012-11-27 00:00:00,44808
2012-12-11 00:00:00,53179
2012-12-25 00:00:00,72414
2013-01-08 00:00:00,83175
2013-01-22 00:00:00,97978
2013-02-05 00:00:00,108332
2013-02-19 00:00:00,119379
2013-03-05 00:00:00,131891
2013-03-19 00:00:00,145918
2013-04-02 00:00:00,172965
2013-04-16 00:00:00,223363
2013-04-30 00:00:00,246826
2013-05-14 00:00:00,269829
2013-05-28 00:00:00,289335
2013-06-11 00:00:00,308385
2013-06-25 00:00:00,325294
2013-07-09 00:00:00,344952
2013-07-23 00:00:00,360592
2013-08-06 00:00:00,377726
2013-08-20 00:00:00,398725
2013-09-03 00:00:00,418399
2013-09-17 00:00:00,434971
2013-10-01 00:00:00,453632
2013-10-15 00:00:00,474334
2013-10-29 00:00:00,504006
2013-11-12 00:00:00,553565
2013-11-26 00:00:00,653577
2013-12-10 00:00:00,821523
2013-12-24 00:00:00,928384
2014-01-07 00:00:00,1007391
2014-01-21 00:00:00,1094815
2014-02-04 00:00:00,1187610
2014-02-18 00:00:00,1266787
2014-03-04 00:00:00,1340251
2014-03-18 00:00:00,1395653
2014-04-01 00:00:00,1451982
2014-04-15 00:00:00,1504640
2014-04-29 00:00:00,1558676
2014-05-13 00:00:00,1606735
2014-05-27 00:00:00,1655830
2014-06-10 00:00:00,1711347
2014-06-24 00:00:00,1766949
2014-07-08 00:00:00,1826405
