Timestamp,utxo-count
2020-08-29 08:06:46,67833990
2020-08-29 08:22:48,67829974
2020-08-29 08:56:31,67830645
2020-08-29 09:24:08,67829239
2020-08-29 09:46:13,67820379
2020-08-29 10:39:45,67824803
2020-08-29 10:57:23,67822473
2020-08-29 11:18:53,67816691
2020-08-29 11:46:12,67814659
2020-08-29 12:44:42,67816408
2020-08-29 13:35:20,67823367
2020-08-29 13:47:50,67826391
2020-08-29 13:50:55,67820370
2020-08-29 14:19:32,67820089
2020-08-29 15:16:18,67823377
2020-08-29 15:37:18,67824500
2020-08-29 15:49:08,67821539
2020-08-29 16:11:45,67820425
2020-08-29 16:30:06,67813231
2020-08-29 17:09:49,67818061
2020-08-29 17:43:33,67830906
2020-08-29 18:16:29,67834996
2020-08-29 18:31:48,67833689
2020-08-29 19:09:39,67841001
2020-08-29 19:45:28,67843597
2020-08-29 20:23:49,67842239
2020-08-29 20:46:37,67843278
2020-08-29 20:53:38,67828254
2020-08-29 21:34:28,67835924
2020-08-29 22:25:08,67839360
2020-08-29 23:15:17,67845792
2020-08-29 23:31:55,67842822
2020-08-30 00:03:48,67833164
2020-08-30 00:31:56,67824447
2020-08-30 00:57:31,67813869
2020-08-30 01:18:55,67804674
2020-08-30 02:37:28,67811225
2020-08-30 03:11:47,67816388
2020-08-30 03:50:36,67819154
2020-08-30 04:00:56,67806578
2020-08-30 04:36:57,67807316
2020-08-30 05:16:01,67800917
2020-08-30 06:09:42,67800851
2020-08-30 06:31:25,67794272
2020-08-30 07:29:06,67792395
2020-08-30 08:19:14,67779389
2020-08-30 08:35:24,67778800
2020-08-30 09:18:03,67779835
2020-08-30 09:59:17,67781147
2020-08-30 10:25:42,67777749
2020-08-30 10:51:45,67769458
2020-08-30 11:37:20,67767181
2020-08-30 12:17:06,67767812
2020-08-30 12:57:05,67759697
2020-08-30 13:52:38,67767702
2020-08-30 14:35:57,67771021
2020-08-30 14:50:53,67774579
2020-08-30 15:27:13,67776123
2020-08-30 15:35:33,67773463
2020-08-30 16:48:03,67778802
2020-08-30 17:07:28,67781847
2020-08-30 17:15:33,67778730
2020-08-30 17:29:10,67768322
2020-08-30 18:07:31,67766824
2020-08-30 18:27:53,67769349
2020-08-30 19:04:07,67772249
2020-08-30 19:47:52,67776882
2020-08-30 20:04:04,67773899
2020-08-30 20:34:28,67772437
2020-08-30 21:41:37,67779386
2020-08-30 22:04:11,67784050
2020-08-30 22:37:26,67787652
2020-08-30 23:06:38,67786090
2020-08-30 23:30:26,67778302
2020-08-30 23:58:10,67765273
2020-08-31 00:08:16,67753733
2020-08-31 00:45:10,67752600
2020-08-31 01:22:07,67745222
2020-08-31 02:31:59,67759040
2020-08-31 03:30:08,67767427
2020-08-31 03:55:02,67768570
2020-08-31 04:06:03,67761947
2020-08-31 04:19:28,67749697
2020-08-31 04:32:24,67735770
2020-08-31 04:51:46,67725064
2020-08-31 05:07:34,67717899
2020-08-31 05:19:38,67714462
2020-08-31 05:30:46,67716676
2020-08-31 05:35:09,67716754
2020-08-31 05:50:56,67715845
2020-08-31 06:27:59,67716736
2020-08-31 06:44:43,67711310
2020-08-31 07:06:43,67710127
2020-08-31 07:53:50,67711502
2020-08-31 08:15:15,67708702
2020-08-31 08:31:27,67706489
2020-08-31 08:41:27,67703621
2020-08-31 09:59:45,67708265
2020-08-31 10:02:24,67705652
2020-08-31 10:12:16,67703638
2020-08-31 10:30:59,67703505
2020-08-31 11:08:07,67706562
2020-08-31 11:51:18,67709917
2020-08-31 12:08:22,67706858
2020-08-31 12:36:42,67707394
2020-08-31 13:19:39,67714230
2020-08-31 13:37:24,67712742
2020-08-31 14:22:25,67712765
2020-08-31 14:35:24,67708734
2020-08-31 15:10:35,67712472
2020-08-31 15:38:19,67715172
2020-08-31 16:01:23,67717510
2020-08-31 16:36:43,67720983
2020-08-31 17:09:35,67726373
2020-08-31 17:38:26,67732530
2020-08-31 17:48:07,67731552
2020-08-31 19:20:34,67744986
2020-08-31 19:42:42,67754532
2020-08-31 20:10:10,67759555
