Timestamp,output-volume
2010-05-31 00:00:00,13961
2010-06-03 00:00:00,17274.1
2010-06-06 00:00:00,16003.31
2010-06-09 00:00:00,80691.57
2010-06-12 00:00:00,20881.1
2010-06-15 00:00:00,45023
2010-06-18 00:00:00,19086.68
2010-06-21 00:00:00,45708.09
2010-06-24 00:00:00,40846.37
2010-06-27 00:00:00,21468
2010-06-30 00:00:00,64280.95
2010-07-03 00:00:00,47050
2010-07-06 00:00:00,27835.5
2010-07-09 00:00:00,21572
2010-07-12 00:00:00,2633819.97
2010-07-15 00:00:00,116998.92
2010-07-18 00:00:00,44670.09
2010-07-21 00:00:00,38004.54
2010-07-24 00:00:00,53191.9600000004
2010-07-27 00:00:00,40199.2
2010-07-30 00:00:00,29261.82
2010-08-02 00:00:00,75663.37
2010-08-05 00:00:00,51702.01
2010-08-08 00:00:00,20285.05
2010-08-11 00:00:00,66537.41
2010-08-14 00:00:00,30251.74
2010-08-17 00:00:00,56445.99
2010-08-20 00:00:00,39228.41
2010-08-23 00:00:00,28426.11
2010-08-26 00:00:00,24747.79
2010-08-29 00:00:00,16704.59
2010-09-01 00:00:00,36607.5899974
2010-09-04 00:00:00,39076.36
2010-09-07 00:00:00,26241.26
2010-09-10 00:00:00,23023.329998
2010-09-13 00:00:00,125727.9300001
2010-09-16 00:00:00,45533.51
2010-09-19 00:00:00,61581.25960352
2010-09-22 00:00:00,53385.49
2010-09-25 00:00:00,40298.0999999999
2010-09-28 00:00:00,92276.6550332
2010-10-01 00:00:00,65983.3881210799
2010-10-04 00:00:00,563662.890000989
2010-10-07 00:00:00,135369.09
2010-10-10 00:00:00,127348.13
2010-10-13 00:00:00,123051.79
2010-10-16 00:00:00,211090.89000109
2010-10-19 00:00:00,278433.5
2010-10-22 00:00:00,137128.13
2010-10-25 00:00:00,160144.65
2010-10-28 00:00:00,198573.54
2010-10-31 00:00:00,73856.13
2010-11-03 00:00:00,66479.98
2010-11-06 00:00:00,137435.36
2010-11-09 00:00:00,62617.22
2010-11-12 00:00:00,42139.8
2010-11-15 00:00:00,271987.710000006
2010-11-18 00:00:00,72348.4610878806
2010-11-21 00:00:00,133035.99999997
2010-11-24 00:00:00,47459.0800000024
2010-11-27 00:00:00,33279.86
2010-11-30 00:00:00,69850.9
2010-12-03 00:00:00,37032.74
2010-12-06 00:00:00,108080.04613297
2010-12-09 00:00:00,53642.58727261
2010-12-12 00:00:00,56341.07644603
2010-12-15 00:00:00,125685.12485908
2010-12-18 00:00:00,91230.6167427501
2010-12-21 00:00:00,111404.82959024
2010-12-24 00:00:00,67806.3074806501
2010-12-27 00:00:00,99819.17496207
2010-12-30 00:00:00,73050.6123855201
2011-01-02 00:00:00,55313.98266554
2011-01-05 00:00:00,57126.4193429102
2011-01-08 00:00:00,67476.9900000001
2011-01-11 00:00:00,112912.827674079
2011-01-14 00:00:00,94314.9765326095
2011-01-17 00:00:00,67407.3347058399
2011-01-20 00:00:00,61452.84683642
2011-01-23 00:00:00,88619.4209138199
2011-01-26 00:00:00,74679.76
2011-01-29 00:00:00,75666.96195608
2011-02-01 00:00:00,129406.34188265
2011-02-04 00:00:00,62850.1946864001
2011-02-07 00:00:00,164918.19627589
2011-02-10 00:00:00,226594.8123717
