Timestamp,n-transactions-per-block
2010-04-27 00:00:00,1.29444444444444
2010-04-30 00:00:00,1.18055555555556
2010-05-03 00:00:00,1.18238993710692
2010-05-06 00:00:00,1.18791946308725
2010-05-09 00:00:00,1.27972027972028
2010-05-12 00:00:00,1.25396825396825
2010-05-15 00:00:00,1.24175824175824
2010-05-18 00:00:00,1.32738095238095
2010-05-21 00:00:00,1.33522727272727
2010-05-24 00:00:00,1.32978723404255
2010-05-27 00:00:00,1.390625
2010-05-30 00:00:00,1.34228187919463
2010-06-02 00:00:00,1.31972789115646
2010-06-05 00:00:00,1.31034482758621
2010-06-08 00:00:00,1.39375
2010-06-11 00:00:00,1.4702380952381
2010-06-14 00:00:00,1.59259259259259
2010-06-17 00:00:00,1.3972602739726
2010-06-20 00:00:00,1.23243243243243
2010-06-23 00:00:00,1.37433155080214
2010-06-26 00:00:00,1.26415094339623
2010-06-29 00:00:00,1.56213017751479
2010-07-02 00:00:00,1.44047619047619
2010-07-05 00:00:00,1.41011235955056
2010-07-08 00:00:00,1.47682119205298
2010-07-11 00:00:00,1.97206703910615
2010-07-14 00:00:00,10.6089965397924
2010-07-17 00:00:00,2.35838150289017
2010-07-20 00:00:00,3.2817679558011
2010-07-23 00:00:00,2.11855670103093
2010-07-26 00:00:00,1.92181069958848
2010-07-29 00:00:00,10.3722222222222
2010-08-01 00:00:00,1.52301255230126
2010-08-04 00:00:00,1.80658436213992
2010-08-07 00:00:00,1.76129032258065
2010-08-10 00:00:00,1.78010471204188
2010-08-13 00:00:00,2.4
2010-08-16 00:00:00,3.08163265306122
2010-08-19 00:00:00,2.40740740740741
2010-08-22 00:00:00,1.72641509433962
2010-08-25 00:00:00,1.68981481481481
2010-08-28 00:00:00,1.99411764705882
2010-08-31 00:00:00,2.39673913043478
2010-09-03 00:00:00,1.94512195121951
2010-09-06 00:00:00,1.75949367088608
2010-09-09 00:00:00,2.4
2010-09-12 00:00:00,2.14124293785311
2010-09-15 00:00:00,2.54437869822485
2010-09-18 00:00:00,1.68354430379747
2010-09-21 00:00:00,4.7093023255814
2010-09-24 00:00:00,2.19736842105263
2010-09-27 00:00:00,2.63318777292576
2010-09-30 00:00:00,2.5
2010-10-03 00:00:00,3.09016393442623
2010-10-06 00:00:00,2.38011695906433
2010-10-09 00:00:00,2.5379746835443
2010-10-12 00:00:00,2.27096774193548
2010-10-15 00:00:00,1.85310734463277
2010-10-18 00:00:00,2.32530120481928
2010-10-21 00:00:00,2.96774193548387
2010-10-24 00:00:00,2.69268292682927
2010-10-27 00:00:00,2.66666666666667
2010-10-30 00:00:00,1.69047619047619
2010-11-02 00:00:00,1.625
2010-11-05 00:00:00,2.01826484018265
2010-11-08 00:00:00,1.87272727272727
2010-11-11 00:00:00,1.80365296803653
2010-11-14 00:00:00,1.625
2010-11-17 00:00:00,1.76113360323887
2010-11-20 00:00:00,83.8879310344828
2010-11-23 00:00:00,2.43571428571429
2010-11-26 00:00:00,6.77319587628866
2010-11-29 00:00:00,2.17224880382775
2010-12-02 00:00:00,2.4468085106383
2010-12-05 00:00:00,1.81589958158996
2010-12-08 00:00:00,2.19747899159664
2010-12-11 00:00:00,3.14285714285714
2010-12-14 00:00:00,3.79166666666667
2010-12-17 00:00:00,2.78313253012048
2010-12-20 00:00:00,5.86163522012579
2010-12-23 00:00:00,3.57931034482759
2010-12-26 00:00:00,4.02758620689655
2010-12-29 00:00:00,3.10909090909091
2011-01-01 00:00:00,3.64088397790055
2011-01-04 00:00:00,6.94326241134752
2011-01-07 00:00:00,6.21951219512195
2011-01-10 00:00:00,8.09876543209877
2011-01-13 00:00:00,6.73404255319149
2011-01-16 00:00:00,5.35057471264368
2011-01-19 00:00:00,5.42603550295858
2011-01-22 00:00:00,8.61818181818182
2011-01-25 00:00:00,5.69871794871795
2011-01-28 00:00:00,6.84177215189873
