Timestamp,n-unique-addresses
2010-07-24 00:00:00,743
2010-07-27 00:00:00,511
2010-07-30 00:00:00,374
2010-08-02 00:00:00,431
2010-08-05 00:00:00,634
2010-08-08 00:00:00,437
2010-08-11 00:00:00,451
2010-08-14 00:00:00,440
2010-08-17 00:00:00,365
2010-08-20 00:00:00,458
2010-08-23 00:00:00,415
2010-08-26 00:00:00,388
2010-08-29 00:00:00,291
2010-09-01 00:00:00,431
2010-09-04 00:00:00,307
2010-09-07 00:00:00,290
2010-09-10 00:00:00,394
2010-09-13 00:00:00,512
2010-09-16 00:00:00,425
2010-09-19 00:00:00,389
2010-09-22 00:00:00,845
2010-09-25 00:00:00,602
2010-09-28 00:00:00,492
2010-10-01 00:00:00,672
2010-10-04 00:00:00,512
2010-10-07 00:00:00,407
2010-10-10 00:00:00,451
2010-10-13 00:00:00,457
2010-10-16 00:00:00,511
2010-10-19 00:00:00,1197
2010-10-22 00:00:00,764
2010-10-25 00:00:00,517
2010-10-28 00:00:00,644
2010-10-31 00:00:00,345
2010-11-03 00:00:00,407
2010-11-06 00:00:00,447
2010-11-09 00:00:00,446
2010-11-12 00:00:00,315
2010-11-15 00:00:00,4210
2010-11-18 00:00:00,469
2010-11-21 00:00:00,578
2010-11-24 00:00:00,621
2010-11-27 00:00:00,564
2010-11-30 00:00:00,577
2010-12-03 00:00:00,481
2010-12-06 00:00:00,564
2010-12-09 00:00:00,599
2010-12-12 00:00:00,979
2010-12-15 00:00:00,895
2010-12-18 00:00:00,688
2010-12-21 00:00:00,846
2010-12-24 00:00:00,711
2010-12-27 00:00:00,701
2010-12-30 00:00:00,797
2011-01-03 00:00:00,1023
2011-01-06 00:00:00,842
2011-01-09 00:00:00,1132
2011-01-12 00:00:00,1039
2011-01-15 00:00:00,1171
2011-01-18 00:00:00,1126
2011-01-21 00:00:00,1520
2011-01-24 00:00:00,1673
2011-01-27 00:00:00,1119
2011-01-30 00:00:00,2852
2011-02-02 00:00:00,1127
2011-02-05 00:00:00,1055
2011-02-08 00:00:00,1092
2011-02-11 00:00:00,3680
2011-02-14 00:00:00,2829
2011-02-17 00:00:00,3147
2011-02-20 00:00:00,2752
2011-02-23 00:00:00,3287
2011-02-27 00:00:00,3122
2011-03-02 00:00:00,2979
2011-03-05 00:00:00,2923
2011-03-08 00:00:00,3483
2011-03-11 00:00:00,2579
2011-03-14 00:00:00,2161
2011-03-17 00:00:00,2782
2011-03-20 00:00:00,4021
2011-03-23 00:00:00,6112
2011-03-26 00:00:00,4144
2011-03-29 00:00:00,3966
2011-04-01 00:00:00,2714
2011-04-04 00:00:00,3829
2011-04-07 00:00:00,2792
2011-04-10 00:00:00,2907
2011-04-13 00:00:00,3658
2011-04-16 00:00:00,3277
2011-04-19 00:00:00,5303
2011-04-22 00:00:00,3411
2011-04-25 00:00:00,4239
2011-04-28 00:00:00,5070
2011-05-01 00:00:00,6246
2011-05-04 00:00:00,5060
2011-05-07 00:00:00,6034
2011-05-10 00:00:00,5567
2011-05-13 00:00:00,7459
2011-05-16 00:00:00,9982
2011-05-19 00:00:00,10305
2011-05-22 00:00:00,9506
2011-05-25 00:00:00,12714
2011-05-28 00:00:00,9810
2011-05-31 00:00:00,11804
2011-06-03 00:00:00,14972
2011-06-06 00:00:00,17873
2011-06-09 00:00:00,22685
2011-06-12 00:00:00,23112
2011-06-15 00:00:00,23970
2011-06-18 00:00:00,22951
2011-06-21 00:00:00,21761
2011-06-24 00:00:00,21877
2011-06-27 00:00:00,25710
